session_id,user_id,session_start,session_end,session_duration,country,traffic_source,campaign_name,device_category,landing_page,exit_page
S26011186374,U00378,2026-01-11 00:14:49,2026-01-11 00:33:05,1096s,TH,organic,,desktop,/new-arrivals,/products
S26012037560,U02629,2026-01-20 11:19:41,2026-01-20 11:26:45,7m 4s,Brazil,organic,,mobile,/,/cart
S26012701999,U01224,2026-01-27 13:37:12,2026-01-27 13:41:36,264s,thailand,social,valentines_accessories,mobile,/,/products
S26020441744,U04445,2026-02-04 00:18:01,2026-02-04 00:37:16,19m 15s,japan,organic,,mobile,/tablets,/products
S26010780381,U01404,2026-01-07 22:00:28,2026-01-07 22:11:35,667s,australia,direct,,desktop,/,/products
S26032906613,U00238,2026-03-29 16:49:25,2026-03-29 17:12:58,23m 33s,IN,social,latam_social_push,mobile,/sale,/search
S26022782505,U01467,2026-02-27 21:03:48,2026-02-27 21:24:31,1243s,japan,social,influencer_sea_q1,mobile,/wearables,/cart
S26020225971,U02560,2026-02-02 06:23:23,2026-02-02 06:51:47,1704s,australia,direct,,desktop,/,/search
S26011391566,U04652,2026-01-13 19:06:18,2026-01-13 19:09:58,3m 40s,Deutschland,direct,,desktop,/sale,/search
S26011480863,U01899,2026-01-14 22:53:44,2026-01-14 23:23:37,29m 53s,Thailand,paid,new_year_gadgets,desktop,/deals,/cart
S26021403966,U02661,2026-02-14 00:13:33,2026-02-14 00:30:41,17m 8s,US,direct,,desktop,/sale,/search
S26012845693,U01400,2026-01-28 09:42:26,2026-01-28 10:09:08,1602s,AU,organic,,desktop,/,/search
S26020185124,U00877,2026-02-01 15:19:53,2026-02-01 15:39:21,19m 28s,Australia,direct,,mobile,/sale,/search
S26012431941,U04838,2026-01-24 03:55:14,2026-01-24 04:16:55,21m 41s,France,paid,middle_east_premium,mobile,/,/cart
S26021157062,U01706,2026-02-11 20:38:55,2026-02-11 21:06:11,27m 16s,Australia,paid,retargeting_global,desktop,/deals,/products
S26011278128,U00639,2026-01-12 02:23:29,2026-01-12 02:44:11,20m 42s,US,email,tech_tuesday_email,desktop,/deals,/cart
S26022889850,U03325,2026-02-28 02:02:41,2026-02-28 02:06:53,252s,Canada,paid,spring_sale_2026,desktop,/sale,/
S26032176122,U00742,2026-03-21 07:49:34,2026-03-21 07:54:48,314s,china,paid,new_year_gadgets,mobile,/deals,/products
S26012980684,U03711,2026-01-29 07:15:06,2026-01-29 07:28:54,13m 48s,ZA,social,influencer_sea_q1,desktop,/new-arrivals,/cart
S26013094082,U04672,2026-01-30 13:39:11,2026-01-30 13:54:31,920s,India,social,influencer_sea_q1,desktop,/audio,/
S26032438559,U04182,2026-03-24 07:08:12,2026-03-24 07:13:03,4m 51s,singapore,paid,middle_east_premium,desktop,/,/404
S26032504087,U02943,2026-03-25 14:51:10,2026-03-25 15:01:17,10m 7s,brazil,social,valentines_accessories,desktop,/sale,/cart
S26020771449,U03136,2026-02-07 01:06:39,2026-02-07 01:22:00,15m 21s,CA,social,latam_social_push,mobile,/deals,/products
S26032354687,U04551,2026-03-23 21:05:45,2026-03-23 21:18:32,12m 47s,United Kingdom,social,latam_social_push,mobile,/,/
S26031286235,U00129,2026-03-12 00:50:32,2026-03-12 01:07:38,17m 6s,TH,paid,new_year_gadgets,desktop,/deals,/search
S26022881690,U03736,2026-02-28 16:25:22,2026-02-28 16:40:23,15m 1s,chile,social,influencer_sea_q1,mobile,/wearables,/search
S26020424352,U03152,2026-02-04 11:55:33,2026-02-04 12:03:45,8m 12s,AU,direct,,mobile,/sale,/products
S26012771587,U04111,2026-01-27 03:23:56,2026-01-27 03:38:27,14m 31s,CO,organic,,desktop,/audio,/search
S26022690504,U03020,2026-02-26 08:07:27,2026-02-26 08:24:23,16m 56s,australia,social,valentines_accessories,desktop,/new-arrivals,/search
S26010879963,U04235,2026-01-08 14:17:59,2026-01-08 14:36:20,18m 21s,uae,organic,,mobile,/audio,/404
S26030145029,U02560,2026-03-01 12:29:04,2026-03-01 12:31:22,2m 18s,AU,organic,,tablet,/sale,/404
S26031355183,U03844,2026-03-13 05:54:42,2026-03-13 06:06:30,11m 48s,Australia,social,influencer_sea_q1,mobile,/deals,/
S26031495285,U04896,2026-03-14 18:17:14,2026-03-14 18:28:06,652s,Canada,organic,,desktop,/sale,/404
S26010638240,U01386,2026-01-06 00:16:58,2026-01-06 00:39:52,1374s,china,social,influencer_sea_q1,desktop,/new-arrivals,/search
S26021936418,U00676,2026-02-19 02:07:27,2026-02-19 02:10:34,3m 7s,USA,paid,new_year_gadgets,desktop,/new-arrivals,/
S26011796857,U00914,2026-01-17 22:52:47,2026-01-17 23:13:28,20m 41s,Singapore,paid,retargeting_global,desktop,/deals,/cart
S26011869125,U01935,2026-01-18 13:18:57,2026-01-18 13:46:44,1667s,Colombia,social,latam_social_push,desktop,/deals,/404
S26032398665,U01263,2026-03-23 07:46:57,2026-03-23 08:04:22,1045s,united kingdom,organic,,mobile,/sale,/products
S26010634654,U01728,2026-01-06 06:35:17,2026-01-06 06:57:42,1345s,CA,email,tech_tuesday_email,desktop,/deals,/search
S26021662425,U03267,2026-02-16 05:42:03,2026-02-16 05:52:50,647s,india,organic,,mobile,/sale,/search
S26012669526,U03888,2026-01-26 11:57:39,2026-01-26 12:03:06,327s,IN,direct,,mobile,/sale,/search
S26030812761,U02587,2026-03-08 07:13:01,2026-03-08 07:14:55,114s,singapore,social,influencer_sea_q1,desktop,/sale,/404
S26012712881,U02234,2026-01-27 05:54:19,2026-01-27 06:03:55,9m 36s,japan,social,latam_social_push,desktop,/sale,/products
S26022088829,U04823,2026-02-20 11:34:36,2026-02-20 11:46:37,721s,IN,social,valentines_accessories,mobile,/tablets,/
S26010212805,U00070,2026-01-02 03:52:19,2026-01-02 04:06:51,14m 32s,united states,email,tech_tuesday_email,desktop,/deals,/cart
S26011903106,U02064,2026-01-19 17:54:28,2026-01-19 17:56:07,99s,ZA,organic,,mobile,/deals,/404
S26011279257,U00998,2026-01-12 15:34:00,2026-01-12 15:37:26,3m 26s,south africa,social,influencer_sea_q1,mobile,/deals,/
S26012561204,U01510,2026-01-25 14:18:54,2026-01-25 14:29:27,633s,IN,organic,,desktop,/new-arrivals,/search
S26011609698,U02650,2026-01-16 17:24:29,2026-01-16 17:51:37,27m 8s,CN,social,latam_social_push,desktop,/sale,/cart
S26012634690,U00493,2026-01-26 01:44:22,2026-01-26 02:12:36,28m 14s,CN,direct,,mobile,/deals,/404
S26030414212,U03217,2026-03-04 16:05:05,2026-03-04 16:22:22,17m 17s,China,social,valentines_accessories,mobile,/phones,/
S26031113538,U03618,2026-03-11 11:00:12,2026-03-11 11:09:32,9m 20s,CA,direct,,desktop,/new-arrivals,/search
S26011583930,U00154,2026-01-15 10:51:20,2026-01-15 11:14:07,22m 47s,ZA,social,latam_social_push,desktop,/new-arrivals,/products
S26022567552,U02702,2026-02-25 19:00:31,2026-02-25 19:01:08,37s,uae,paid,middle_east_premium,desktop,/sale,/search
S26012250387,U00575,2026-01-22 22:15:40,2026-01-22 22:16:16,36s,India,paid,retargeting_global,desktop,/audio,/404
S26030852509,U02941,2026-03-08 04:47:32,2026-03-08 04:58:22,10m 50s,thailand,paid,asia_pacific_launch,tablet,/new-arrivals,/404
S26010860245,U02786,2026-01-08 19:28:40,2026-01-08 19:57:52,1752s,Japan,organic,,mobile,/deals,/404
S26030639173,U00323,2026-03-06 03:37:19,2026-03-06 03:44:20,421s,SG,email,tech_tuesday_email,desktop,/sale,/
S26011904679,U03588,2026-01-19 09:29:03,2026-01-19 09:34:19,5m 16s,south africa,social,influencer_sea_q1,desktop,/deals,/search
S26010770851,U03185,2026-01-07 02:47:00,2026-01-07 03:14:33,1653s,Italy,organic,,desktop,/sale,/
S26020244265,U00304,2026-02-02 22:35:29,2026-02-02 22:37:53,144s,AU,direct,,desktop,/,/products
S26030719523,U04286,2026-03-07 20:02:09,2026-03-07 20:20:57,1128s,UAE,social,latam_social_push,mobile,/,/products
S26030561763,U04006,2026-03-05 11:32:16,2026-03-05 11:33:25,69s,thailand,direct,,desktop,/deals,/products
S26030340283,U00118,2026-03-03 10:12:28,2026-03-03 10:14:40,132s,JP,social,valentines_accessories,mobile,/wearables,/products
S26032113937,U04842,2026-03-21 09:36:45,2026-03-21 10:05:09,28m 24s,chile,social,valentines_accessories,tablet,/deals,/
S26021196721,U01661,2026-02-11 09:08:40,2026-02-11 09:20:40,720s,China,direct,,desktop,/audio,/404
S26032327948,U01126,2026-03-23 05:00:58,2026-03-23 05:28:32,1654s,south africa,social,latam_social_push,desktop,/new-arrivals,/
S26011454415,U00990,2026-01-14 17:06:20,2026-01-14 17:32:41,26m 21s,Australia,paid,asia_pacific_launch,mobile,/deals,/search
S26010413102,U01996,2026-01-04 22:50:07,2026-01-04 22:55:10,303s,china,paid,retargeting_global,desktop,/sale,/products
S26010800946,U00129,2026-01-08 20:05:50,2026-01-08 20:06:33,0m 43s,TH,email,tech_tuesday_email,desktop,/new-arrivals,/search
S26030927021,U03900,2026-03-09 05:18:42,2026-03-09 05:23:31,4m 49s,Colombia,direct,,mobile,/sale,/search
S26030104931,U01960,2026-03-01 06:39:23,2026-03-01 07:03:29,24m 6s,colombia,social,valentines_accessories,mobile,/wearables,/
S26021073100,U02468,2026-02-10 15:50:30,2026-02-10 15:51:09,0m 39s,IN,paid,asia_pacific_launch,desktop,/,/404
S26021960845,U02965,2026-02-19 06:39:20,2026-02-19 06:47:19,479s,china,paid,retargeting_global,desktop,/new-arrivals,/
S26011119558,U01587,2026-01-11 22:33:40,2026-01-11 23:01:21,1661s,Japan,direct,,mobile,/deals,/products
S26010647735,U00354,2026-01-06 05:53:36,2026-01-06 06:16:06,22m 30s,Japan,organic,,desktop,/new-arrivals,/404
S26011106875,U03713,2026-01-11 03:19:07,2026-01-11 03:44:53,1546s,IN,paid,spring_sale_2026,desktop,/,/search
S26010794555,U04219,2026-01-07 21:06:52,2026-01-07 21:15:23,8m 31s,australia,social,valentines_accessories,desktop,/sale,/products
S26031742746,U02669,2026-03-17 15:08:38,2026-03-17 15:12:53,4m 15s,AU,paid,new_year_gadgets,desktop,/deals,/search
S26021563492,U01808,2026-02-15 17:29:12,2026-02-15 17:49:40,20m 28s,Singapore,paid,spring_sale_2026,mobile,/deals,/404
S26020717878,U03728,2026-02-07 14:32:42,2026-02-07 14:45:56,13m 14s,FR,paid,new_year_gadgets,tablet,/new-arrivals,/products
S26010474536,U02752,2026-01-04 02:47:08,2026-01-04 03:11:15,24m 7s,IN,social,valentines_accessories,desktop,/sale,/search
S26011745033,U03427,2026-01-17 14:55:40,2026-01-17 15:22:07,26m 27s,UK,organic,,mobile,/deals,/404
S26022630107,U01393,2026-02-26 03:07:14,2026-02-26 03:26:36,19m 22s,uae,direct,,mobile,/phones,/search
S26012895684,U03791,2026-01-28 02:30:55,2026-01-28 02:31:54,0m 59s,AU,organic,,tablet,/new-arrivals,/search
S26032819525,U04747,2026-03-28 14:05:50,2026-03-28 14:26:31,1241s,ZA,paid,new_year_gadgets,mobile,/,/
S26031366088,U03856,2026-03-13 05:07:25,2026-03-13 05:34:09,26m 44s,united kingdom,direct,,desktop,/,/search
S26012473202,U04058,2026-01-24 08:25:56,2026-01-24 08:29:16,200s,france,direct,,desktop,/deals,/products
S26012411892,U02937,2026-01-24 05:03:20,2026-01-24 05:25:56,22m 36s,japan,email,tech_tuesday_email,desktop,/deals,/search
S26021418169,U04673,2026-02-14 03:51:21,2026-02-14 04:07:40,979s,Thailand,email,tech_tuesday_email,desktop,/new-arrivals,/search
S26010790538,U00012,2026-01-07 20:44:22,2026-01-07 20:58:00,13m 38s,IN,social,influencer_sea_q1,mobile,/sale,/cart
S26031989740,U04444,2026-03-19 03:16:10,2026-03-19 03:23:44,7m 34s,Thailand,social,influencer_sea_q1,desktop,/audio,/cart
S26020760994,U00423,2026-02-07 04:20:59,2026-02-07 04:33:57,778s,Argentina,social,valentines_accessories,desktop,/deals,/404
S26031026832,U00549,2026-03-10 20:52:31,2026-03-10 21:19:25,26m 54s,France,paid,retargeting_global,desktop,/phones,/
S26031599730,U03920,2026-03-15 03:01:17,2026-03-15 03:27:12,25m 55s,China,email,tech_tuesday_email,desktop,/tablets,/search
S26010745249,U02271,2026-01-07 03:39:39,2026-01-07 03:52:52,13m 13s,thailand,paid,spring_sale_2026,desktop,/,/search
S26032959241,U04358,2026-03-29 07:52:23,2026-03-29 08:02:51,628s,DE,paid,retargeting_global,desktop,/sale,/
S26032937797,U00657,2026-03-29 04:21:55,2026-03-29 04:28:31,396s,IN,paid,middle_east_premium,mobile,/deals,/cart
S26011519726,U00918,2026-01-15 08:45:28,2026-01-15 09:02:54,1046s,india,social,influencer_sea_q1,mobile,/new-arrivals,/search
S26011345442,U04436,2026-01-13 19:38:45,2026-01-13 19:55:25,16m 40s,italy,organic,,mobile,/new-arrivals,/products
S26010330451,U00516,2026-01-03 03:20:56,2026-01-03 03:48:48,1672s,south africa,organic,,mobile,/sale,/404
S26030542769,U02809,2026-03-05 16:01:57,2026-03-05 16:24:30,22m 33s,france,organic,,desktop,/accessories,/search
S26022540172,U03752,2026-02-25 01:47:31,2026-02-25 01:52:31,5m 0s,germany,paid,asia_pacific_launch,mobile,/sale,/cart
S26031606202,U02361,2026-03-16 17:38:48,2026-03-16 18:08:09,29m 21s,India,organic,,mobile,/deals,/404
S26031137387,U01318,2026-03-11 02:38:33,2026-03-11 02:57:19,18m 46s,CN,organic,,mobile,/deals,/products
S26010475304,U00958,2026-01-04 23:53:23,2026-01-05 00:04:41,11m 18s,Thailand,direct,,desktop,/deals,/products
S26030645068,U04608,2026-03-06 14:51:05,2026-03-06 15:02:24,11m 19s,Japan,paid,spring_sale_2026,tablet,/deals,/404
S26010365459,U02471,2026-01-03 10:04:47,2026-01-03 10:19:05,858s,Australia,paid,spring_sale_2026,mobile,/deals,/
S26020292464,U04475,2026-02-02 03:56:23,2026-02-02 04:18:58,22m 35s,Brazil,social,influencer_sea_q1,mobile,/deals,/404
S26020214721,U03622,2026-02-02 21:11:30,2026-02-02 21:35:31,1441s,DE,organic,,mobile,/phones,/
S26020828883,U02524,2026-02-08 23:51:55,2026-02-09 00:13:29,21m 34s,AE,paid,spring_sale_2026,desktop,/,/404
S26022136428,U01599,2026-02-21 02:40:47,2026-02-21 02:48:51,8m 4s,MX,social,influencer_sea_q1,desktop,/sale,/
S26020864286,U04193,2026-02-08 07:04:25,2026-02-08 07:11:33,7m 8s,mexico,organic,,mobile,/,/cart
S26011556051,U03257,2026-01-15 08:44:20,2026-01-15 09:09:16,24m 56s,France,direct,,mobile,/new-arrivals,/cart
S26013073535,U02879,2026-01-30 21:53:27,2026-01-30 22:09:09,15m 42s,india,direct,,mobile,/sale,/search
S26011695420,U02365,2026-01-16 21:39:32,2026-01-16 22:07:32,1680s,Japan,organic,,desktop,/deals,/404
S26010927234,U04899,2026-01-09 08:34:34,2026-01-09 08:39:58,5m 24s,australia,direct,,desktop,/,/404
S26010183729,U03079,2026-01-01 15:25:23,2026-01-01 15:39:51,868s,Thailand,social,valentines_accessories,mobile,/phones,/search
S26012050039,U04653,2026-01-20 08:18:13,2026-01-20 08:25:03,6m 50s,France,paid,new_year_gadgets,tablet,/new-arrivals,/404
S26022460745,U02490,2026-02-24 07:13:09,2026-02-24 07:38:54,25m 45s,ZA,social,latam_social_push,mobile,/new-arrivals,/cart
S26030537707,U03872,2026-03-05 11:29:40,2026-03-05 11:52:53,23m 13s,united kingdom,email,tech_tuesday_email,mobile,/,/
S26010797722,U02271,2026-01-07 11:28:48,2026-01-07 11:49:44,20m 56s,Thailand,paid,middle_east_premium,mobile,/sale,/cart
S26032148916,U03900,2026-03-21 10:43:56,2026-03-21 10:48:30,4m 34s,colombia,social,influencer_sea_q1,mobile,/new-arrivals,/products
S26011560429,U04765,2026-01-15 04:31:27,2026-01-15 04:42:51,684s,AU,social,valentines_accessories,mobile,/deals,/
S26021046659,U02234,2026-02-10 17:32:18,2026-02-10 17:54:31,22m 13s,Japan,paid,asia_pacific_launch,mobile,/,/404
S26031624018,U01588,2026-03-16 09:56:25,2026-03-16 10:18:21,1316s,United States,direct,,desktop,/new-arrivals,/cart
S26012791483,U02467,2026-01-27 08:32:42,2026-01-27 08:56:35,1433s,AU,organic,,tablet,/accessories,/cart
S26010267917,U01178,2026-01-02 06:03:13,2026-01-02 06:08:23,5m 10s,Deutschland,direct,,mobile,/new-arrivals,/products
S26011628981,U00840,2026-01-16 00:08:20,2026-01-16 00:26:00,1060s,india,social,valentines_accessories,mobile,/accessories,/404
S26031514937,U04515,2026-03-15 10:19:20,2026-03-15 10:47:13,27m 53s,CN,social,influencer_sea_q1,mobile,/deals,/
S26020390577,U03929,2026-02-03 19:23:16,2026-02-03 19:34:24,11m 8s,united kingdom,organic,,mobile,/accessories,/cart
S26010315544,U01411,2026-01-03 19:00:52,2026-01-03 19:26:46,25m 54s,United States,paid,asia_pacific_launch,mobile,/new-arrivals,/products
S26010890546,U01720,2026-01-08 15:09:46,2026-01-08 15:24:46,900s,IT,paid,new_year_gadgets,mobile,/,/search
S26010514131,U03533,2026-01-05 03:04:17,2026-01-05 03:11:29,7m 12s,china,organic,,desktop,/accessories,/
S26011205672,U03843,2026-01-12 13:06:31,2026-01-12 13:15:39,9m 8s,france,organic,,desktop,/,/
S26022724219,U04930,2026-02-27 01:12:51,2026-02-27 01:20:10,439s,AU,email,tech_tuesday_email,desktop,/deals,/cart
S26020465619,U04750,2026-02-04 04:41:35,2026-02-04 04:47:33,358s,mexico,paid,asia_pacific_launch,mobile,/phones,/404
S26032101832,U00560,2026-03-21 13:46:29,2026-03-21 14:06:43,20m 14s,india,social,valentines_accessories,desktop,/new-arrivals,/products
S26031228051,U04401,2026-03-12 10:11:11,2026-03-12 10:15:03,232s,india,social,valentines_accessories,mobile,/new-arrivals,/404
S26021214067,U01517,2026-02-12 16:29:44,2026-02-12 16:53:13,23m 29s,Australia,organic,,desktop,/sale,/products
S26020999799,U04213,2026-02-09 13:43:31,2026-02-09 13:47:52,261s,CA,email,tech_tuesday_email,mobile,/,/404
S26031692370,U01114,2026-03-16 00:13:35,2026-03-16 00:26:24,12m 49s,japan,social,latam_social_push,desktop,/,/cart
S26020759892,U04045,2026-02-07 08:36:17,2026-02-07 08:46:27,610s,Singapore,social,valentines_accessories,mobile,/deals,/404
S26012956093,U03337,2026-01-29 05:07:19,2026-01-29 05:37:00,29m 41s,CO,organic,,desktop,/new-arrivals,/products
S26021713785,U00105,2026-02-17 17:37:25,2026-02-17 18:00:51,23m 26s,thailand,social,influencer_sea_q1,desktop,/,/products
S26020877405,U03235,2026-02-08 21:31:20,2026-02-08 21:55:33,1453s,canada,direct,,mobile,/,/cart
S26012052990,U01631,2026-01-20 10:38:51,2026-01-20 10:59:39,20m 48s,Singapore,paid,asia_pacific_launch,mobile,/new-arrivals,/404
S26012784388,U04864,2026-01-27 12:04:21,2026-01-27 12:30:39,1578s,South Africa,organic,,mobile,/wearables,/search
S26021919316,U03970,2026-02-19 15:40:55,2026-02-19 15:50:56,601s,CA,organic,,desktop,/new-arrivals,/search
