session_id,user_id,session_start,session_end,session_duration_sec,country,traffic_source,campaign_name,device_category,landing_page,exit_page
S26020696069,U01777,2026-02-06 06:28:37 UTC,2026-02-06 06:51:40 UTC,1383,AE,organic,,mobile,/sale,/cart
S26012395121,U01431,2026-01-23 02:50:04 UTC,2026-01-23 03:01:38 UTC,694,AE,organic,,desktop,/new-arrivals,/
S26011681522,U00065,2026-01-16 19:17:21 UTC,2026-01-16 19:36:51 UTC,1170,AE,organic,,mobile,/new-arrivals,/cart
S26022803397,U00351,2026-02-28 10:52:20 UTC,2026-02-28 11:11:17 UTC,1137,AE,organic,,mobile,/sale,/404
S26022727702,U01518,2026-02-27 12:53:24 UTC,2026-02-27 13:03:06 UTC,582,AE,direct,,desktop,/deals,/cart
S26031052427,U04553,2026-03-10 16:52:02 UTC,2026-03-10 17:06:25 UTC,863,AE,organic,,desktop,/accessories,/products
S26030756668,U02764,2026-03-07 10:08:28 UTC,2026-03-07 10:33:59 UTC,1531,AE,organic,,mobile,/new-arrivals,/cart
S26031976635,U04197,2026-03-19 07:07:10 UTC,2026-03-19 07:10:53 UTC,223,AE,direct,,mobile,/deals,/
S26021610582,U00670,2026-02-16 15:54:16 UTC,2026-02-16 16:09:06 UTC,890,AE,organic,,mobile,/deals,/
S26010662131,U04822,2026-01-06 17:03:23 UTC,2026-01-06 17:04:34 UTC,71,AE,organic,,desktop,/sale,/search
S26030546441,U03794,2026-03-05 17:46:10 UTC,2026-03-05 18:01:01 UTC,891,AE,direct,,desktop,/,/
S26011556306,U03485,2026-01-15 22:08:37 UTC,2026-01-15 22:31:36 UTC,1379,AE,organic,,mobile,/deals,/
S26022436306,U01556,2026-02-24 04:22:03 UTC,2026-02-24 04:48:47 UTC,1604,AE,direct,,desktop,/,/cart
S26020611952,U01641,2026-02-06 12:33:04 UTC,2026-02-06 12:57:49 UTC,1485,AE,direct,,desktop,/,/search
S26012924209,U03904,2026-01-29 03:40:43 UTC,2026-01-29 04:06:39 UTC,1556,AE,organic,,desktop,/,/404
S26032748078,U04145,2026-03-27 06:58:42 UTC,2026-03-27 07:12:09 UTC,807,AE,organic,,desktop,/sale,/cart
S26021862938,U00029,2026-02-18 09:31:09 UTC,2026-02-18 09:33:57 UTC,168,AE,direct,,mobile,/deals,/404
S26012070029,U02764,2026-01-20 14:49:57 UTC,2026-01-20 15:06:14 UTC,977,AE,organic,,desktop,/deals,/
S26012241025,U04394,2026-01-22 04:50:21 UTC,2026-01-22 05:08:51 UTC,1110,AE,organic,,mobile,/audio,/search
S26012361195,U03911,2026-01-23 14:36:31 UTC,2026-01-23 14:39:16 UTC,165,AE,organic,,tablet,/sale,/search
S26012753855,U02564,2026-01-27 17:44:53 UTC,2026-01-27 17:57:32 UTC,759,AE,direct,,desktop,/new-arrivals,/search
S26011316193,U04036,2026-01-13 23:34:43 UTC,2026-01-13 23:42:10 UTC,447,AE,direct,,desktop,/audio,/404
S26010403468,U00204,2026-01-04 07:49:31 UTC,2026-01-04 07:57:50 UTC,499,AE,organic,,mobile,/new-arrivals,/404
S26021688070,U02259,2026-02-16 19:47:59 UTC,2026-02-16 19:54:20 UTC,381,AE,direct,,tablet,/sale,/404
S26010234588,U01157,2026-01-02 09:10:42 UTC,2026-01-02 09:27:08 UTC,986,AE,direct,,mobile,/,/search
S26031117637,U02165,2026-03-11 00:13:57 UTC,2026-03-11 00:19:30 UTC,333,AE,organic,,mobile,/,/404
S26033020360,U04957,2026-03-30 07:00:39 UTC,2026-03-30 07:27:06 UTC,1587,AE,organic,,desktop,/deals,/
S26030990554,U03794,2026-03-09 08:14:42 UTC,2026-03-09 08:16:55 UTC,133,AE,organic,,mobile,/sale,/cart
S26030392517,U01668,2026-03-03 20:04:57 UTC,2026-03-03 20:15:16 UTC,619,AE,paid,asia_pacific_launch,desktop,/deals,/404
S26012180362,U04553,2026-01-21 06:26:02 UTC,2026-01-21 06:51:34 UTC,1532,AE,paid,asia_pacific_launch,desktop,/sale,/products
S26031499307,U01284,2026-03-14 20:18:33 UTC,2026-03-14 20:31:48 UTC,795,AE,paid,asia_pacific_launch,desktop,/sale,/products
S26012253300,U03318,2026-01-22 21:57:36 UTC,2026-01-22 21:59:26 UTC,110,AE,paid,asia_pacific_launch,desktop,/audio,/404
S26031139904,U02561,2026-03-11 18:53:06 UTC,2026-03-11 19:10:25 UTC,1039,AE,paid,asia_pacific_launch,desktop,/sale,/
S26032481603,U01244,2026-03-24 10:48:53 UTC,2026-03-24 11:18:32 UTC,1779,AE,paid,asia_pacific_launch,tablet,/new-arrivals,/products
S26022878217,U04084,2026-02-28 09:24:22 UTC,2026-02-28 09:49:59 UTC,1537,AE,paid,asia_pacific_launch,mobile,/,/products
S26032662783,U00913,2026-03-26 05:47:03 UTC,2026-03-26 05:49:28 UTC,145,AE,paid,asia_pacific_launch,mobile,/sale,/
S26022795777,U04897,2026-02-27 09:39:09 UTC,2026-02-27 09:40:16 UTC,67,AE,paid,asia_pacific_launch,mobile,/new-arrivals,/cart
S26010512472,U02978,2026-01-05 18:55:22 UTC,2026-01-05 19:07:39 UTC,737,AE,paid,asia_pacific_launch,mobile,/sale,/
S26021335837,U03887,2026-02-13 03:42:19 UTC,2026-02-13 03:45:14 UTC,175,AE,paid,asia_pacific_launch,mobile,/new-arrivals,/cart
S26030897171,U04723,2026-03-08 10:37:58 UTC,2026-03-08 10:52:15 UTC,857,AE,paid,asia_pacific_launch,desktop,/deals,/products
S26031832254,U04724,2026-03-18 08:56:22 UTC,2026-03-18 09:11:17 UTC,895,AE,paid,asia_pacific_launch,desktop,/wearables,/404
S26020290848,U01616,2026-02-02 23:03:08 UTC,2026-02-02 23:22:00 UTC,1132,AE,paid,asia_pacific_launch,tablet,/new-arrivals,/products
S26022219763,U00568,2026-02-22 18:51:55 UTC,2026-02-22 19:14:46 UTC,1371,AE,paid,asia_pacific_launch,desktop,/,/products
S26011350951,U03374,2026-01-13 03:09:14 UTC,2026-01-13 03:14:00 UTC,286,AE,paid,asia_pacific_launch,desktop,/tablets,/search
S26032635497,U02020,2026-03-26 19:58:23 UTC,2026-03-26 20:19:08 UTC,1245,AE,paid,asia_pacific_launch,desktop,/sale,/search
S26032773239,U00218,2026-03-27 13:33:29 UTC,2026-03-27 14:03:03 UTC,1774,AE,paid,asia_pacific_launch,tablet,/phones,/
S26022417682,U01556,2026-02-24 03:50:47 UTC,2026-02-24 04:04:36 UTC,829,AE,paid,asia_pacific_launch,tablet,/new-arrivals,/
S26030303304,U03506,2026-03-03 17:53:48 UTC,2026-03-03 18:14:40 UTC,1252,AE,paid,asia_pacific_launch,desktop,/wearables,/
S26031609784,U00119,2026-03-16 03:51:01 UTC,2026-03-16 04:15:34 UTC,1473,AE,paid,asia_pacific_launch,mobile,/sale,/
S26031366781,U02770,2026-03-13 07:31:16 UTC,2026-03-13 07:38:30 UTC,434,AE,paid,asia_pacific_launch,desktop,/sale,/search
S26030673622,U01616,2026-03-06 11:27:41 UTC,2026-03-06 11:31:31 UTC,230,AE,paid,asia_pacific_launch,mobile,/sale,/products
S26031996681,U04839,2026-03-19 18:21:00 UTC,2026-03-19 18:49:46 UTC,1726,AE,paid,asia_pacific_launch,mobile,/deals,/search
S26011025035,U04440,2026-01-10 09:03:52 UTC,2026-01-10 09:32:10 UTC,1698,AE,social,influencer_sea_q1,tablet,/,/products
S26020583558,U00413,2026-02-05 18:20:36 UTC,2026-02-05 18:28:37 UTC,481,AE,social,influencer_sea_q1,mobile,/sale,/search
S26032430493,U00556,2026-03-24 06:32:38 UTC,2026-03-24 06:38:56 UTC,378,AE,social,influencer_sea_q1,desktop,/sale,/search
S26011579607,U01559,2026-01-15 20:07:02 UTC,2026-01-15 20:13:12 UTC,370,AE,social,influencer_sea_q1,desktop,/new-arrivals,/404
S26022890119,U04666,2026-02-28 23:33:11 UTC,2026-02-28 23:34:29 UTC,78,AE,social,influencer_sea_q1,desktop,/sale,/search
S26012935924,U00558,2026-01-29 16:54:33 UTC,2026-01-29 17:14:39 UTC,1206,AE,social,influencer_sea_q1,desktop,/new-arrivals,/search
S26021972233,U03485,2026-02-19 11:23:11 UTC,2026-02-19 11:39:48 UTC,997,AE,social,influencer_sea_q1,desktop,/deals,/
S26031741007,U01299,2026-03-17 02:04:33 UTC,2026-03-17 02:26:21 UTC,1308,AE,social,influencer_sea_q1,desktop,/sale,/search
S26032590603,U02657,2026-03-25 10:43:33 UTC,2026-03-25 10:44:39 UTC,66,AE,social,influencer_sea_q1,desktop,/new-arrivals,/
S26031504551,U03157,2026-03-15 12:38:32 UTC,2026-03-15 12:51:20 UTC,768,AE,social,influencer_sea_q1,desktop,/accessories,/
S26022626104,U04347,2026-02-26 22:46:36 UTC,2026-02-26 22:59:46 UTC,790,AE,social,influencer_sea_q1,desktop,/,/cart
S26031216645,U00936,2026-03-12 21:47:38 UTC,2026-03-12 21:51:47 UTC,249,AE,social,influencer_sea_q1,desktop,/,/
S26032154245,U03374,2026-03-21 08:15:13 UTC,2026-03-21 08:39:05 UTC,1432,AE,social,influencer_sea_q1,tablet,/sale,/cart
S26030552034,U01785,2026-03-05 19:47:49 UTC,2026-03-05 20:00:40 UTC,771,AE,social,influencer_sea_q1,desktop,/,/cart
S26010978323,U04891,2026-01-09 23:36:57 UTC,2026-01-09 23:52:12 UTC,915,AE,social,influencer_sea_q1,mobile,/,/
S26011475423,U01620,2026-01-14 23:17:40 UTC,2026-01-14 23:36:40 UTC,1140,AE,social,latam_social_push,mobile,/deals,/products
S26030582196,U04463,2026-03-05 03:18:46 UTC,2026-03-05 03:22:04 UTC,198,AE,social,latam_social_push,desktop,/,/search
S26022740116,U04039,2026-02-27 12:17:26 UTC,2026-02-27 12:37:27 UTC,1201,AE,social,latam_social_push,desktop,/new-arrivals,/products
S26013077217,U04666,2026-01-30 21:47:04 UTC,2026-01-30 21:50:04 UTC,180,AE,social,latam_social_push,mobile,/sale,/404
S26010922719,U00204,2026-01-09 06:09:24 UTC,2026-01-09 06:15:20 UTC,356,AE,social,latam_social_push,desktop,/audio,/products
S26022079863,U02574,2026-02-20 19:07:52 UTC,2026-02-20 19:28:47 UTC,1255,AE,social,latam_social_push,desktop,/new-arrivals,/404
S26031471326,U03263,2026-03-14 04:52:28 UTC,2026-03-14 04:55:24 UTC,176,AE,social,latam_social_push,desktop,/audio,/cart
S26020854967,U04104,2026-02-08 12:35:59 UTC,2026-02-08 12:51:42 UTC,943,AE,social,latam_social_push,mobile,/accessories,/cart
S26010820744,U02764,2026-01-08 23:56:44 UTC,2026-01-09 00:25:17 UTC,1713,AE,social,latam_social_push,desktop,/wearables,/products
S26011343029,U04003,2026-01-13 10:49:19 UTC,2026-01-13 11:13:01 UTC,1422,AE,social,latam_social_push,desktop,/tablets,/search
S26011769239,U04518,2026-01-17 14:41:52 UTC,2026-01-17 15:09:16 UTC,1644,AE,social,latam_social_push,mobile,/sale,/cart
S26013193710,U00556,2026-01-31 19:58:10 UTC,2026-01-31 20:16:37 UTC,1107,AE,social,latam_social_push,desktop,/,/cart
S26012364696,U02165,2026-01-23 10:49:46 UTC,2026-01-23 10:57:46 UTC,480,AE,social,latam_social_push,mobile,/sale,/cart
S26031791127,U02764,2026-03-17 20:47:12 UTC,2026-03-17 21:09:42 UTC,1350,AE,paid,middle_east_premium,mobile,/,/
S26022023634,U01284,2026-02-20 05:51:51 UTC,2026-02-20 06:07:05 UTC,914,AE,paid,middle_east_premium,mobile,/sale,/404
S26032765717,U00670,2026-03-27 12:14:00 UTC,2026-03-27 12:18:19 UTC,259,AE,paid,middle_east_premium,mobile,/,/cart
S26021263444,U01785,2026-02-12 05:58:18 UTC,2026-02-12 06:25:21 UTC,1623,AE,paid,middle_east_premium,mobile,/deals,/404
S26031494205,U04897,2026-03-14 13:07:18 UTC,2026-03-14 13:33:00 UTC,1542,AE,paid,middle_east_premium,desktop,/,/products
S26031712126,U02161,2026-03-17 23:23:01 UTC,2026-03-17 23:50:24 UTC,1643,AE,paid,middle_east_premium,desktop,/audio,/404
S26030844303,U00686,2026-03-08 13:57:31 UTC,2026-03-08 14:25:33 UTC,1682,AE,paid,middle_east_premium,desktop,/,/cart
S26032289474,U02259,2026-03-22 04:38:55 UTC,2026-03-22 04:49:30 UTC,635,AE,paid,middle_east_premium,desktop,/audio,/404
S26012454954,U02020,2026-01-24 00:59:20 UTC,2026-01-24 01:13:20 UTC,840,AE,paid,middle_east_premium,mobile,/,/search
S26020663413,U04197,2026-02-06 12:54:53 UTC,2026-02-06 13:02:01 UTC,428,AE,paid,middle_east_premium,desktop,/wearables,/404
S26032340747,U03904,2026-03-23 02:02:15 UTC,2026-03-23 02:17:05 UTC,890,AE,paid,middle_east_premium,desktop,/sale,/products
S26030603002,U01102,2026-03-06 23:43:04 UTC,2026-03-06 23:47:50 UTC,286,AE,paid,middle_east_premium,mobile,/tablets,/404
S26032198445,U04958,2026-03-21 12:36:37 UTC,2026-03-21 12:50:51 UTC,854,AE,paid,middle_east_premium,mobile,/sale,/products
S26020171988,U04967,2026-02-01 18:00:42 UTC,2026-02-01 18:04:42 UTC,240,AE,paid,middle_east_premium,tablet,/new-arrivals,/
S26020595894,U02764,2026-02-05 11:05:18 UTC,2026-02-05 11:15:08 UTC,590,AE,paid,middle_east_premium,mobile,/sale,/cart
S26031801797,U00766,2026-03-18 22:20:29 UTC,2026-03-18 22:38:37 UTC,1088,AE,paid,middle_east_premium,desktop,/sale,/cart
S26032678024,U04448,2026-03-26 00:36:54 UTC,2026-03-26 01:06:35 UTC,1781,AE,paid,middle_east_premium,tablet,/new-arrivals,/404
S26022020217,U03241,2026-02-20 19:55:27 UTC,2026-02-20 19:57:01 UTC,94,AE,paid,middle_east_premium,mobile,/deals,/products
S26031187248,U01244,2026-03-11 21:52:50 UTC,2026-03-11 22:05:46 UTC,776,AE,paid,middle_east_premium,desktop,/,/
S26011604181,U03968,2026-01-16 14:50:44 UTC,2026-01-16 14:55:04 UTC,260,AE,paid,middle_east_premium,desktop,/wearables,/search
S26031262491,U01132,2026-03-12 03:16:23 UTC,2026-03-12 03:42:37 UTC,1574,AE,paid,new_year_gadgets,mobile,/phones,/products
S26020145979,U03157,2026-02-01 08:49:20 UTC,2026-02-01 09:07:18 UTC,1078,AE,paid,new_year_gadgets,desktop,/,/products
S26011542467,U00185,2026-01-15 03:37:54 UTC,2026-01-15 03:44:53 UTC,419,AE,paid,new_year_gadgets,desktop,/,/products
S26012072194,U01620,2026-01-20 02:08:22 UTC,2026-01-20 02:09:20 UTC,58,AE,paid,new_year_gadgets,mobile,/,/404
S26032520885,U00290,2026-03-25 00:37:56 UTC,2026-03-25 01:03:50 UTC,1554,AE,paid,new_year_gadgets,desktop,/deals,/cart
S26011890588,U00214,2026-01-18 01:59:05 UTC,2026-01-18 01:59:47 UTC,42,AE,paid,new_year_gadgets,desktop,/sale,/products
S26020579205,U02136,2026-02-05 13:21:23 UTC,2026-02-05 13:31:44 UTC,621,AE,paid,new_year_gadgets,mobile,/new-arrivals,/products
S26010821037,U04967,2026-01-08 19:18:37 UTC,2026-01-08 19:34:03 UTC,926,AE,paid,new_year_gadgets,mobile,/audio,/cart
S26032039900,U02291,2026-03-20 12:15:01 UTC,2026-03-20 12:39:51 UTC,1490,AE,paid,new_year_gadgets,mobile,/accessories,/products
S26012155106,U04036,2026-01-21 01:29:40 UTC,2026-01-21 01:53:56 UTC,1456,AE,paid,new_year_gadgets,mobile,/deals,/
S26030299775,U04720,2026-03-02 16:19:21 UTC,2026-03-02 16:39:16 UTC,1195,AE,paid,new_year_gadgets,tablet,/,/products
S26030359665,U00245,2026-03-03 17:26:01 UTC,2026-03-03 17:43:49 UTC,1068,AE,paid,new_year_gadgets,mobile,/sale,/
S26012609055,U02047,2026-01-26 10:42:48 UTC,2026-01-26 10:53:14 UTC,626,AE,paid,new_year_gadgets,mobile,/deals,/products
S26020831365,U00774,2026-02-08 04:39:25 UTC,2026-02-08 04:54:05 UTC,880,AE,paid,new_year_gadgets,desktop,/sale,/
S26021413966,U03178,2026-02-14 07:31:30 UTC,2026-02-14 07:52:04 UTC,1234,AE,paid,new_year_gadgets,mobile,/sale,/404
S26012612786,U00185,2026-01-26 20:15:02 UTC,2026-01-26 20:16:52 UTC,110,AE,paid,new_year_gadgets,mobile,/tablets,/404
S26031940751,U02824,2026-03-19 11:16:08 UTC,2026-03-19 11:42:20 UTC,1572,AE,paid,new_year_gadgets,desktop,/sale,/
S26011781087,U04079,2026-01-17 14:53:11 UTC,2026-01-17 14:58:32 UTC,321,AE,paid,new_year_gadgets,desktop,/new-arrivals,/404
S26022643121,U03001,2026-02-26 04:24:02 UTC,2026-02-26 04:30:32 UTC,390,AE,paid,new_year_gadgets,mobile,/deals,/404
S26022326490,U00670,2026-02-23 10:05:12 UTC,2026-02-23 10:15:54 UTC,642,AE,paid,new_year_gadgets,mobile,/sale,/products
S26020685377,U01377,2026-02-06 17:34:37 UTC,2026-02-06 17:50:15 UTC,938,AE,paid,new_year_gadgets,tablet,/,/
S26012971404,U00185,2026-01-29 15:13:44 UTC,2026-01-29 15:18:56 UTC,312,AE,paid,retargeting_global,mobile,/deals,/search
S26032528973,U04940,2026-03-25 22:32:51 UTC,2026-03-25 22:34:49 UTC,118,AE,paid,retargeting_global,mobile,/,/products
S26030626116,U02146,2026-03-06 02:11:48 UTC,2026-03-06 02:23:45 UTC,717,AE,paid,retargeting_global,mobile,/deals,/cart
S26031473613,U04593,2026-03-14 01:12:23 UTC,2026-03-14 01:42:11 UTC,1788,AE,paid,retargeting_global,desktop,/tablets,/search
S26022060176,U04839,2026-02-20 07:10:18 UTC,2026-02-20 07:22:11 UTC,713,AE,paid,retargeting_global,mobile,/audio,/search
S26031545578,U02756,2026-03-15 16:36:37 UTC,2026-03-15 16:42:36 UTC,359,AE,paid,retargeting_global,desktop,/audio,/404
S26020903961,U00558,2026-02-09 07:17:41 UTC,2026-02-09 07:32:58 UTC,917,AE,paid,retargeting_global,mobile,/new-arrivals,/
S26020904692,U00492,2026-02-09 00:57:48 UTC,2026-02-09 01:23:42 UTC,1554,AE,paid,retargeting_global,desktop,/new-arrivals,/
S26013159361,U04347,2026-01-31 17:07:19 UTC,2026-01-31 17:09:04 UTC,105,AE,paid,retargeting_global,desktop,/sale,/cart
S26031684545,U04822,2026-03-16 08:45:43 UTC,2026-03-16 08:52:27 UTC,404,AE,paid,retargeting_global,desktop,/phones,/
S26022452998,U04394,2026-02-24 22:58:07 UTC,2026-02-24 23:04:12 UTC,365,AE,paid,retargeting_global,tablet,/new-arrivals,/search
S26030428702,U00436,2026-03-04 00:29:37 UTC,2026-03-04 00:40:33 UTC,656,AE,paid,retargeting_global,mobile,/deals,/products
S26020189509,U01668,2026-02-01 03:23:12 UTC,2026-02-01 03:38:37 UTC,925,AE,paid,retargeting_global,mobile,/deals,/products
S26012512623,U02756,2026-01-25 01:16:11 UTC,2026-01-25 01:44:26 UTC,1695,AE,paid,retargeting_global,mobile,/deals,/cart
S26010192208,U02259,2026-01-01 20:29:28 UTC,2026-01-01 20:33:54 UTC,266,AE,paid,retargeting_global,desktop,/deals,/
S26031903122,U00891,2026-03-19 15:07:14 UTC,2026-03-19 15:13:11 UTC,357,AE,paid,retargeting_global,desktop,/new-arrivals,/404
S26021360192,U00065,2026-02-13 12:01:31 UTC,2026-02-13 12:04:50 UTC,199,AE,paid,retargeting_global,mobile,/sale,/
S26011349705,U04553,2026-01-13 07:07:04 UTC,2026-01-13 07:34:17 UTC,1633,AE,paid,retargeting_global,mobile,/new-arrivals,/cart
S26020863808,U04463,2026-02-08 04:43:00 UTC,2026-02-08 05:09:19 UTC,1579,AE,paid,retargeting_global,desktop,/deals,/search
S26032721759,U03001,2026-03-27 23:06:58 UTC,2026-03-27 23:24:19 UTC,1041,AE,paid,retargeting_global,desktop,/sale,/search
S26021496563,U03788,2026-02-14 19:04:57 UTC,2026-02-14 19:26:27 UTC,1290,AE,paid,retargeting_global,mobile,/wearables,/products
S26020903004,U04003,2026-02-09 05:21:37 UTC,2026-02-09 05:38:06 UTC,989,AE,paid,retargeting_global,desktop,/sale,/search
S26020828883,U02524,2026-02-08 23:51:55 UTC,2026-02-09 00:13:29 UTC,1294,AE,paid,spring_sale_2026,desktop,/,/404
S26030654575,U04230,2026-03-06 12:23:10 UTC,2026-03-06 12:37:25 UTC,855,AE,paid,spring_sale_2026,mobile,/deals,/404
S26021396981,U03073,2026-02-13 02:29:03 UTC,2026-02-13 02:54:56 UTC,1553,AE,paid,spring_sale_2026,desktop,/sale,/search
S26021862895,U04666,2026-02-18 19:16:04 UTC,2026-02-18 19:42:32 UTC,1588,AE,paid,spring_sale_2026,tablet,/audio,/search
S26031867102,U02136,2026-03-18 10:53:56 UTC,2026-03-18 11:18:20 UTC,1464,AE,paid,spring_sale_2026,mobile,/,/search
S26011256573,U01377,2026-01-12 10:40:46 UTC,2026-01-12 11:00:11 UTC,1165,AE,paid,spring_sale_2026,desktop,/,/
S26031841689,U04110,2026-03-18 11:23:06 UTC,2026-03-18 11:40:29 UTC,1043,AE,paid,spring_sale_2026,mobile,/audio,/cart
S26021210054,U04698,2026-02-12 15:08:39 UTC,2026-02-12 15:36:41 UTC,1682,AE,paid,spring_sale_2026,desktop,/new-arrivals,/search
S26022110006,U04577,2026-02-21 07:42:14 UTC,2026-02-21 07:58:46 UTC,992,AE,paid,spring_sale_2026,mobile,/sale,/products
S26011553144,U00492,2026-01-15 21:07:57 UTC,2026-01-15 21:26:38 UTC,1121,AE,paid,spring_sale_2026,mobile,/,/search
S26011703558,U01037,2026-01-17 15:20:35 UTC,2026-01-17 15:49:49 UTC,1754,AE,paid,spring_sale_2026,desktop,/deals,/search
S26031261749,U01620,2026-03-12 05:06:19 UTC,2026-03-12 05:19:51 UTC,812,AE,paid,spring_sale_2026,mobile,/,/
S26022731917,U03346,2026-02-27 14:28:30 UTC,2026-02-27 14:54:17 UTC,1547,AE,paid,spring_sale_2026,desktop,/,/search
S26011021313,U01249,2026-01-10 07:16:34 UTC,2026-01-10 07:24:53 UTC,499,AE,paid,spring_sale_2026,desktop,/deals,/cart
S26010376403,U04577,2026-01-03 10:04:11 UTC,2026-01-03 10:23:38 UTC,1167,AE,paid,spring_sale_2026,mobile,/sale,/
S26021771930,U01299,2026-02-17 12:57:59 UTC,2026-02-17 13:22:47 UTC,1488,AE,paid,spring_sale_2026,mobile,/new-arrivals,/404
S26013009185,U04593,2026-01-30 10:10:00 UTC,2026-01-30 10:29:36 UTC,1176,AE,paid,spring_sale_2026,mobile,/phones,/404
S26032113756,U00039,2026-03-21 12:57:17 UTC,2026-03-21 13:03:25 UTC,368,AE,paid,spring_sale_2026,desktop,/sale,/
S26032704925,U01443,2026-03-27 11:02:38 UTC,2026-03-27 11:28:24 UTC,1546,AE,paid,spring_sale_2026,mobile,/new-arrivals,/products
S26022031219,U00072,2026-02-20 18:11:45 UTC,2026-02-20 18:24:12 UTC,747,AE,paid,spring_sale_2026,desktop,/sale,/404
S26021469758,U03722,2026-02-14 00:44:13 UTC,2026-02-14 01:10:58 UTC,1605,AE,paid,spring_sale_2026,tablet,/sale,/search
S26021919688,U00891,2026-02-19 13:12:24 UTC,2026-02-19 13:28:04 UTC,940,AE,paid,spring_sale_2026,desktop,/audio,/products
S26022721071,U04197,2026-02-27 04:59:12 UTC,2026-02-27 05:07:22 UTC,490,AE,paid,spring_sale_2026,mobile,/phones,/search
S26012666518,U00492,2026-01-26 05:16:35 UTC,2026-01-26 05:38:29 UTC,1314,AE,email,tech_tuesday_email,mobile,/sale,/cart
S26013149959,U04502,2026-01-31 06:07:02 UTC,2026-01-31 06:24:49 UTC,1067,AE,email,tech_tuesday_email,tablet,/new-arrivals,/404
S26021379901,U02756,2026-02-13 18:15:11 UTC,2026-02-13 18:23:38 UTC,507,AE,email,tech_tuesday_email,mobile,/new-arrivals,/
S26031424415,U00600,2026-03-14 03:16:43 UTC,2026-03-14 03:24:37 UTC,474,AE,email,tech_tuesday_email,desktop,/sale,/search
S26010998884,U04305,2026-01-09 00:50:16 UTC,2026-01-09 01:00:20 UTC,604,AE,email,tech_tuesday_email,desktop,/phones,/
S26030577519,U01785,2026-03-05 21:19:00 UTC,2026-03-05 21:49:00 UTC,1800,AE,email,tech_tuesday_email,mobile,/new-arrivals,/
